Godot Engine v4.6.stable.official.89cea1439 - https://godotengine.org
Vulkan 1.4.312 - Forward+ - Using Device #0: NVIDIA - NVIDIA GeForce RTX 3080

[square] circ=74.0 avg_h=0.260 ref=1.000 | e0=0.211, e1=0.243, e2=0.283, e3=0.301 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701437, -0.697459)
[square] circ=74.1 avg_h=0.259 ref=1.000 | e0=0.211, e1=0.243, e2=0.282, e3=0.301 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701371, -0.696964)
[square] circ=74.1 avg_h=0.259 ref=1.000 | e0=0.211, e1=0.243, e2=0.282, e3=0.302 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701305, -0.696454)
[square] circ=74.1 avg_h=0.259 ref=1.000 | e0=0.210, e1=0.243, e2=0.282, e3=0.302 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701236, -0.69593)
[square] circ=74.1 avg_h=0.259 ref=1.000 | e0=0.210, e1=0.243, e2=0.282, e3=0.303 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701166, -0.695392)
[square] circ=74.2 avg_h=0.258 ref=1.000 | e0=0.206, e1=0.243, e2=0.282, e3=0.303 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701159, -0.69531)
[square] circ=74.3 avg_h=0.257 ref=1.000 | e0=0.202, e1=0.243, e2=0.281, e3=0.303 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701153, -0.695229)
[square] circ=74.4 avg_h=0.256 ref=1.000 | e0=0.198, e1=0.242, e2=0.281, e3=0.303 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701148, -0.695148)
[square] circ=74.5 avg_h=0.255 ref=1.000 | e0=0.194, e1=0.242, e2=0.281, e3=0.303 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701142, -0.695066)
[square] circ=74.6 avg_h=0.254 ref=1.000 | e0=0.190, e1=0.242, e2=0.281, e3=0.303 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701136, -0.694984)
[square] circ=74.8 avg_h=0.252 ref=1.000 | e0=0.182, e1=0.242, e2=0.281, e3=0.303 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701061, -0.69426)
[square] circ=74.9 avg_h=0.251 ref=1.000 | e0=0.178, e1=0.242, e2=0.281, e3=0.304 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701058, -0.694176)
[square] circ=74.9 avg_h=0.251 ref=1.000 | e0=0.178, e1=0.242, e2=0.281, e3=0.304 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.700992, -0.693601)
[square] circ=74.8 avg_h=0.252 ref=1.000 | e0=0.180, e1=0.242, e2=0.281, e3=0.304 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.70099, -0.693516)
[square] circ=74.8 avg_h=0.252 ref=1.000 | e0=0.180, e1=0.242, e2=0.281, e3=0.304 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.70099, -0.693516)
[square] circ=74.8 avg_h=0.252 ref=1.000 | e0=0.179, e1=0.242, e2=0.280, e3=0.304 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.701867, -0.693092)
[square] circ=74.9 avg_h=0.251 ref=1.000 | e0=0.177, e1=0.241, e2=0.280, e3=0.306 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.704895, -0.691303)
[square] circ=74.8 avg_h=0.252 ref=1.000 | e0=0.180, e1=0.241, e2=0.279, e3=0.309 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.708979, -0.68788)
[square] circ=74.7 avg_h=0.253 ref=1.000 | e0=0.183, e1=0.240, e2=0.278, e3=0.311 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.711842, -0.685312)
[square] circ=74.6 avg_h=0.254 ref=1.000 | e0=0.185, e1=0.240, e2=0.277, e3=0.313 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.713769, -0.683108)
[square] circ=74.6 avg_h=0.254 ref=1.000 | e0=0.187, e1=0.239, e2=0.276, e3=0.315 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.715377, -0.681442)
[square] circ=74.4 avg_h=0.256 ref=1.000 | e0=0.189, e1=0.242, e2=0.276, e3=0.316 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.716991, -0.67974)
[square] circ=74.3 avg_h=0.257 ref=1.000 | e0=0.191, e1=0.245, e2=0.275, e3=0.318 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.718933, -0.67735)
[square] circ=74.2 avg_h=0.258 ref=1.000 | e0=0.191, e1=0.245, e2=0.275, e3=0.319 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.719258, -0.676691)
[square] circ=74.2 avg_h=0.258 ref=1.000 | e0=0.192, e1=0.246, e2=0.275, e3=0.319 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.719585, -0.676024)
[square] circ=74.1 avg_h=0.259 ref=1.000 | e0=0.193, e1=0.247, e2=0.275, e3=0.320 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.720553, -0.675557)
[square] circ=74.0 avg_h=0.260 ref=1.000 | e0=0.194, e1=0.249, e2=0.274, e3=0.321 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.721855, -0.674413)
[square] circ=74.0 avg_h=0.260 ref=1.000 | e0=0.195, e1=0.250, e2=0.274, e3=0.321 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.722178, -0.673728)
[square] circ=74.0 avg_h=0.260 ref=1.000 | e0=0.195, e1=0.250, e2=0.274, e3=0.320 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.722502, -0.673036)
[square] circ=74.0 avg_h=0.260 ref=1.000 | e0=0.196, e1=0.251, e2=0.274, e3=0.319 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.722828, -0.672336)
[square] circ=74.0 avg_h=0.260 ref=1.000 | e0=0.198, e1=0.254, e2=0.273, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.724453, -0.670438)
[square] circ=73.9 avg_h=0.261 ref=1.000 | e0=0.199, e1=0.255, e2=0.273, e3=0.317 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.725435, -0.669963)
[square] circ=73.9 avg_h=0.261 ref=1.000 | e0=0.201, e1=0.257, e2=0.273, e3=0.315 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.727066, -0.668027)
[square] circ=73.9 avg_h=0.261 ref=1.000 | e0=0.202, e1=0.259, e2=0.272, e3=0.314 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.727709, -0.666535)
[square] circ=73.8 avg_h=0.262 ref=1.000 | e0=0.203, e1=0.260, e2=0.272, e3=0.313 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.729018, -0.665297)
[square] circ=73.8 avg_h=0.262 ref=1.000 | e0=0.204, e1=0.262, e2=0.271, e3=0.311 | edge0[0]=(-0.707107, -0.707107) curr[0]=(-0.729659, -0.663758)
